id,x,y
143,4.938,2.4667
144,4.9299,2.3509
145,4.922,2.2378
146,4.9141,2.125
147,4.9064,2.0151
148,4.8991,1.9107
149,4.8916,1.8041
150,4.8843,1.6988
151,4.8773,1.5987
152,4.8708,1.4838
153,4.868,1.3768
154,4.8655,1.2737
155,4.8738,1.1672
156,4.8902,1.0627
157,4.9065,0.9587
158,4.9206,0.8527
159,4.9291,0.7487
160,4.9375,0.646
161,4.9442,0.5432
162,4.9507,0.439
163,4.9568,0.339
164,4.9632,0.2362
165,4.9694,0.1362
166,4.9757,0.0326
167,4.9813,-0.0703
168,4.9864,-0.1748
169,4.9912,-0.2757
170,4.996,-0.3775
171,4.9999,-0.49
172,5.0036,-0.602
173,5.0069,-0.7021
174,5.0102,-0.8025
175,5.0139,-0.9128
176,5.0176,-1.0241
177,5.021,-1.1336
178,5.0242,-1.2427
179,5.0266,-1.3556
180,5.0289,-1.4687
181,5.0296,-1.583
182,5.0297,-1.684
183,5.0297,-1.796
184,5.0298,-1.9041
185,5.0298,-2.0116
186,5.0252,-2.1171
187,5.0181,-2.2222
188,5.0111,-2.3275
189,5.004,-2.4331
190,4.9968,-2.5395
191,4.9897,-2.6457
192,4.9809,-2.7529
193,4.9613,-2.8571
194,4.9327,-2.9605
195,4.8973,-3.0615
196,4.8372,-3.1505
197,4.7558,-3.2185
198,4.6634,-3.2625
199,4.5629,-3.3003
200,4.4557,-3.3166
201,4.3475,-3.3224
202,4.2389,-3.3228
203,4.1313,-3.3106
204,4.0254,-3.2863
205,3.9198,-3.2619
206,3.8145,-3.2376
207,3.7092,-3.2135
208,3.6038,-3.1895
209,3.4964,-3.1733
210,3.3885,-3.1677
211,3.28,-3.1621
212,3.1721,-3.1564
213,3.0633,-3.1508
214,2.9551,-3.1452
215,2.8472,-3.1395
216,2.7415,-3.134
217,2.6366,-3.1286
218,2.5315,-3.1231
219,2.4275,-3.1182
220,2.3237,-3.1138
221,2.2194,-3.1095
222,2.114,-3.1099
223,2.0087,-3.1108
224,1.9034,-3.1118
225,1.7987,-3.1127
226,1.6929,-3.1137
227,1.5871,-3.1146
228,1.4807,-3.1155
229,1.3749,-3.1165
230,1.2687,-3.1174
231,1.1629,-3.1183
232,1.0568,-3.1193
233,0.951,-3.1202
234,0.8446,-3.1211
235,0.7382,-3.1221
236,0.6321,-3.123
237,0.5257,-3.1239
238,0.4193,-3.1249
239,0.3135,-3.1258
240,0.2074,-3.1267
241,0.101,-3.1276
242,-0.0055,-3.1274
243,-0.1099,-3.1061
244,-0.2041,-3.0581
245,-0.2807,-2.9829
246,-0.3285,-2.8846
247,-0.3679,-2.7824
248,-0.4055,-2.6849
249,-0.4426,-2.5888
250,-0.481,-2.4895
251,-0.5195,-2.3897
252,-0.5621,-2.2794
253,-0.5995,-2.1826
254,-0.6391,-2.0801
255,-0.6792,-1.9762
256,-0.72,-1.8705
257,-0.7623,-1.7612
258,-0.804,-1.6531
259,-0.8453,-1.5462
260,-0.8857,-1.4415
261,-0.926,-1.3374
262,-0.9653,-1.2355
263,-1.0042,-1.1348
264,-1.0427,-1.0351
265,-1.0806,-0.937
266,-1.1178,-0.8405
267,-1.1612,-0.728
268,-1.2047,-0.6146
269,-1.2426,-0.4992
270,-1.2634,-0.3783
271,-1.2635,-0.256
272,-1.2424,-0.1372
273,-1.2014,-0.0247
274,-1.1418,0.0797
275,-1.0653,0.1719
276,-0.9738,0.2499
277,-0.8699,0.3115
278,-0.7581,0.3542
279,-0.6489,0.3763
280,-0.5467,0.3875
281,-0.4421,0.3861
282,-0.3486,0.3241
283,-0.2828,0.2473
284,-0.2188,0.1655
285,-0.1446,0.0736
286,-0.079,-0.0105
