id,x,y
0,-0.0,0.0
1,0.0283,0.0976
2,0.0582,0.1966
3,0.0894,0.2996
4,0.1208,0.4033
5,0.1525,0.5083
6,0.1837,0.6115
7,0.2141,0.7119
8,0.2443,0.8118
9,0.2763,0.9174
10,0.3089,1.0254
11,0.3417,1.1336
12,0.3742,1.2413
13,0.4064,1.3477
14,0.4383,1.453
15,0.4704,1.5591
16,0.5023,1.6647
17,0.534,1.7694
18,0.5658,1.8747
19,0.5984,1.9824
20,0.6315,2.092
21,0.6647,2.2016
22,0.6955,2.3037
23,0.7246,2.3998
24,0.7547,2.4994
25,0.7852,2.6004
26,0.8156,2.7007
27,0.8458,2.8007
28,0.8752,2.8977
29,0.9383,2.8167
30,0.9624,2.7171
31,0.9866,2.6171
32,1.0111,2.5159
33,1.036,2.4133
34,1.0605,2.3118
35,1.085,2.2108
36,1.1094,2.1099
37,1.134,2.0084
38,1.1585,1.907
39,1.1832,1.8053
40,1.2077,1.7039
41,1.2325,1.6016
42,1.2571,1.4998
43,1.2817,1.398
44,1.3064,1.296
45,1.331,1.1943
46,1.3557,1.0923
47,1.3804,0.9903
48,1.4053,0.8875
49,1.4298,0.7862
50,1.4549,0.6826
51,1.4809,0.5752
52,1.5069,0.4677
53,1.533,0.3597
54,1.5594,0.2505
55,1.5859,0.1412
56,1.6117,0.0345
57,1.6367,-0.0688
58,1.6626,-0.1758
59,1.6886,-0.2832
60,1.7147,-0.391
61,1.7407,-0.4982
62,1.7663,-0.604
63,1.7912,-0.7068
64,1.8154,-0.8069
65,1.8394,-0.9063
66,1.8616,-0.804
67,1.8853,-0.6977
68,1.9072,-0.5996
69,1.9321,-0.4884
70,1.9552,-0.3848
71,1.9793,-0.2768
72,2.0043,-0.165
73,2.0296,-0.0516
74,2.055,0.062
75,2.0773,0.162
76,2.1024,0.2739
77,2.1269,0.3838
78,2.1521,0.4966
79,2.1774,0.6099
80,2.2031,0.7251
81,2.2283,0.8379
82,2.2536,0.951
83,2.2789,1.0643
84,2.304,1.1768
85,2.3293,1.2901
86,2.3545,1.4026
87,2.3797,1.5153
88,2.4048,1.6281
89,2.4301,1.7412
90,2.4553,1.854
91,2.4804,1.9664
92,2.5055,2.0789
93,2.5304,2.1903
94,2.5552,2.3012
95,2.5795,2.4101
96,2.6039,2.5196
97,2.6284,2.6291
98,2.6527,2.7378
99,2.677,2.8467
100,2.7012,2.9551
101,2.7258,3.0654
102,2.7505,3.1759
103,2.775,3.2854
104,2.7981,3.3891
105,2.8209,3.4911
106,2.846,3.6034
107,2.8701,3.7117
108,2.8921,3.8098
109,2.9157,3.9155
110,2.9497,4.0097
111,3.0509,4.0066
112,3.1574,4.0032
113,3.2693,3.9998
114,3.3779,3.9964
115,3.4789,3.9932
116,3.5878,3.9898
117,3.6967,3.9864
118,3.8047,3.983
119,3.915,3.9796
120,4.0266,3.9761
121,4.1385,3.9726
122,4.2527,3.9691
123,4.3654,3.9656
124,4.4776,3.9621
125,4.5898,3.9586
126,4.6992,3.9552
127,4.8041,3.9519
128,4.9064,3.9487
129,5.0093,3.9455
130,5.034,3.8381
131,5.026,3.7245
132,5.018,3.6093
133,5.0096,3.489
134,5.0025,3.3875
135,4.9954,3.287
136,4.9884,3.1863
137,4.9813,3.0858
138,4.9743,2.9856
139,4.9673,2.8857
140,4.9603,2.7853
141,4.9533,2.6851
142,4.9463,2.585
