id,x,y
0,0.0001,-0.0
1,0.0554,0.0958
2,0.1062,0.1821
3,0.162,0.2771
4,0.2129,0.3636
5,0.2665,0.4547
6,0.3199,0.5457
7,0.3747,0.6388
8,0.4255,0.7252
9,0.4807,0.8191
10,0.5366,0.9142
11,0.5938,1.0114
12,0.6447,1.098
13,0.6967,1.1865
14,0.7499,1.277
15,0.8014,1.3646
16,0.8529,1.4522
17,0.9046,1.5401
18,0.9562,1.6279
19,1.0089,1.7176
20,1.0621,1.8081
21,1.1157,1.8993
22,1.1691,1.99
23,1.2219,2.0798
24,1.2772,2.1739
25,1.3341,2.2706
26,1.3895,2.365
27,1.4447,2.4588
28,1.5013,2.5551
29,1.558,2.6514
30,1.6147,2.748
31,1.6714,2.8445
32,1.7311,2.9308
33,1.8142,2.9924
34,1.917,3.0152
35,2.019,2.9925
36,2.1039,2.9248
37,2.1571,2.8328
38,2.183,2.7294
39,2.187,2.6271
40,2.1863,2.5069
41,2.1857,2.4057
42,2.185,2.2994
43,2.1843,2.1956
44,2.1836,2.0896
45,2.183,1.9877
46,2.1823,1.8826
47,2.1816,1.7761
48,2.1809,1.6706
49,2.1803,1.5649
50,2.1796,1.4606
51,2.1789,1.3501
52,2.1782,1.2413
53,2.1775,1.1364
54,2.177,1.0313
55,2.1785,0.9282
56,2.1889,0.8247
57,2.2129,0.725
58,2.2513,0.629
59,2.3012,0.5358
60,2.35,0.4437
61,2.3986,0.3517
62,2.4478,0.2584
63,2.4988,0.1617
64,2.548,0.0685
65,2.5993,-0.0288
66,2.6498,-0.1252
67,2.6973,-0.2241
68,2.74,-0.3218
69,2.7818,-0.4186
70,2.8217,-0.5107
71,2.8614,-0.6027
72,2.9023,-0.6972
73,2.943,-0.7915
74,3.0463,-0.8317
75,3.1477,-0.8214
76,3.221,-0.7417
77,3.2762,-0.6372
78,3.31,-0.5299
79,3.3256,-0.415
80,3.3232,-0.3052
81,3.3168,-0.1902
82,3.3092,-0.0732
83,3.301,0.0512
84,3.2927,0.1769
85,3.2861,0.2777
86,3.2794,0.3804
87,3.2726,0.4837
88,3.2657,0.5886
89,3.2591,0.6916
90,3.2533,0.7935
91,3.2478,0.9162
92,3.2443,1.0204
93,3.2418,1.121
94,3.2403,1.2216
95,3.2396,1.3222
96,3.2402,1.4242
97,3.2424,1.5268
98,3.2493,1.627
99,3.2614,1.7296
100,3.2784,1.8317
101,3.3006,1.9334
102,3.3274,2.0328
103,3.3592,2.1299
104,3.396,2.2254
105,3.4372,2.3186
106,3.4825,2.4092
107,3.5298,2.5
108,3.5773,2.5913
109,3.6244,2.6817
110,3.6797,2.7879
111,3.7359,2.896
112,3.7884,2.9969
113,3.8347,3.0859
114,3.9073,3.0074
115,3.9209,2.9045
116,3.9077,2.8014
117,3.8864,2.6954
118,3.8617,2.5806
119,3.8368,2.4643
120,3.8147,2.3493
121,3.8013,2.2319
122,3.8007,2.1144
123,3.8141,1.9977
124,3.8386,1.8814
125,3.864,1.7629
126,3.8891,1.6452
127,3.9148,1.524
128,3.9405,1.4036
129,3.966,1.2834
130,3.9914,1.1638
131,4.0123,1.0653
132,4.0332,0.9672
133,4.054,0.8693
134,4.0796,0.7486
135,4.1051,0.6287
136,4.1306,0.5085
137,4.1562,0.3878
138,4.182,0.2665
139,4.208,0.1442
140,4.2289,0.0457
141,4.2546,-0.0753
142,4.28,-0.1954
143,4.3052,-0.3168
144,4.3292,-0.4388
145,4.3512,-0.5611
146,4.3678,-0.6838
147,4.3782,-0.808
148,4.3814,-0.9323
149,4.375,-1.0559
150,4.3543,-1.1781
151,4.3269,-1.2744
152,4.2892,-1.3671
153,4.2284,-1.4755
154,4.1527,-1.5745
155,4.0634,-1.6611
156,3.9612,-1.7318
157,3.8707,-1.7759
158,3.7752,-1.8075
159,3.6755,-1.826
160,3.5747,-1.8308
161,3.4745,-1.8221
162,3.3761,-1.7998
163,3.2601,-1.7543
164,3.1528,-1.6954
165,3.0659,-1.6454
166,2.9789,-1.5952
167,2.8912,-1.5447
168,2.7833,-1.4825
169,2.6757,-1.4205
170,2.5734,-1.3616
171,2.4701,-1.3021
172,2.3685,-1.2436
173,2.2737,-1.189
174,2.1826,-1.1366
175,2.0908,-1.0837
176,1.9982,-1.0304
177,1.9058,-0.9772
178,1.8135,-0.9241
179,1.7209,-0.8708
180,1.628,-0.8173
181,1.5352,-0.7638
182,1.4419,-0.7101
183,1.3483,-0.6562
184,1.2552,-0.6026
185,1.1621,-0.549
186,1.0693,-0.4956
187,0.9765,-0.4421
188,0.8832,-0.3884
189,0.7901,-0.3348
190,0.6965,-0.2809
191,0.6088,-0.2308
192,0.5165,-0.1806
193,0.4178,-0.1332
194,0.317,-0.0986
195,0.2144,-0.075
196,0.1168,-0.0527
