id,x,y
0,0.0001,-0.0
1,0.1027,-0.0
2,0.2141,-0.0
3,0.3244,-0.0
4,0.4327,-0.0
5,0.5515,0.0
6,0.6609,0.0
7,0.7765,0.0
8,0.8921,0.0
9,1.0068,0.0
10,1.1229,0.0
11,1.2371,0.0
12,1.3523,0.0
13,1.467,0.0
14,1.582,0.0
15,1.697,0.0
16,1.8159,0.0
17,1.9376,0.0
18,2.0614,0.0
19,2.1856,0.0
20,2.2862,0.0
21,2.3908,0.0
22,2.495,0.0
23,2.6007,0.0
24,2.7067,0.0
25,2.8138,0.0
26,2.9212,0.0
27,3.0325,0.0
28,3.1491,0.0
29,3.2658,0.0
30,3.3877,0.0
31,3.5094,0.0
32,3.6366,0.0
33,3.7637,0.0
34,3.8961,0.0
35,3.9981,0.0
36,4.0998,0.0
37,4.2018,0.0
38,4.3038,0.0
39,4.4058,0.0
40,4.5078,0.0
41,4.6098,0.0
42,4.7118,0.0
43,4.8138,0.0
44,4.9158,0.0
45,5.0178,0.0
46,5.1198,0.0
47,5.2218,0.0
48,5.3238,0.0
49,5.4258,0.0
50,5.5278,0.0
51,5.6298,0.0
52,5.7318,0.0
53,5.8338,0.0
54,5.9358,0.0
55,6.0378,0.0
56,6.1398,0.0
57,6.2418,0.0
58,6.3438,0.0
59,6.4458,0.0
60,6.5478,0.0
61,6.6498,0.0
62,6.7518,0.0
63,6.8538,0.0
64,6.9558,0.0
65,7.0578,0.0
66,7.1598,0.0
67,7.2618,0.0
68,7.3638,0.0
69,7.4658,0.0
70,7.5678,0.0
71,7.6698,0.0
72,7.7718,0.0
73,7.8738,0.0
74,7.9758,0.0
75,8.0778,0.0
76,8.1798,0.0
77,8.2818,0.0
78,8.3838,0.0
79,8.4858,0.0
80,8.5878,0.0
81,8.6898,0.0
82,8.7918,0.0
83,8.8938,0.0
84,8.9958,0.0
85,9.0978,0.0
86,9.1998,0.0
87,9.2999,0.0
88,9.4166,0.0
89,9.5365,0.0
90,9.6422,0.0
