id,x,y
0,0.0001,-0.0
1,-0.0011,0.1007
2,-0.0006,0.2063
3,0.0,0.3114
4,0.0006,0.4154
5,0.0012,0.5255
6,0.0017,0.6305
7,0.0023,0.7428
8,0.0029,0.857
9,0.0035,0.9606
10,0.0041,1.0641
11,0.0046,1.1704
12,0.0052,1.2765
13,0.0058,1.3842
14,0.0064,1.4905
15,0.0069,1.5954
16,0.0075,1.7012
17,0.0081,1.8075
18,0.0086,1.913
19,0.0092,2.0193
20,0.0098,2.1245
21,0.0103,2.2308
22,0.0109,2.3366
23,0.0115,2.4407
24,0.012,2.5439
25,0.0126,2.6477
26,0.0131,2.7515
27,0.0137,2.8547
28,0.0142,2.958
29,0.0148,3.0609
30,0.0153,3.1647
31,0.0159,3.2677
32,0.017,3.3709
33,0.0215,3.4717
34,0.0408,3.5865
35,0.0722,3.683
36,0.1168,3.7735
37,0.1739,3.8556
38,0.2428,3.9294
39,0.321,3.9931
40,0.4061,4.0501
41,0.4965,4.1014
42,0.59,4.1454
43,0.6862,4.1823
44,0.785,4.2086
45,0.8854,4.2204
46,0.9874,4.2157
47,1.1016,4.1935
48,1.2016,4.1718
49,1.3016,4.1493
50,1.4005,4.1215
51,1.4954,4.0817
52,1.5834,4.0297
53,1.6699,3.9759
54,1.7524,3.9188
55,1.8255,3.8501
56,1.8951,3.7572
57,1.9436,3.6533
58,1.9766,3.5454
59,2.0045,3.4341
60,2.0084,3.3189
61,1.9868,3.2071
62,1.9605,3.0985
63,1.9369,3.0003
64,1.9134,2.9026
65,1.8875,2.7924
66,1.8698,2.6938
67,1.8521,2.594
68,1.8369,2.4948
69,1.8241,2.3949
70,1.8141,2.2943
71,1.8155,2.1943
72,1.8176,2.0935
73,1.8197,1.9934
74,1.822,1.882
75,1.8244,1.77
76,1.8267,1.6572
77,1.8288,1.5545
78,1.831,1.4478
79,1.8331,1.3426
80,1.8353,1.2366
81,1.8376,1.128
82,1.8398,1.018
83,1.8421,0.9066
84,1.8444,0.7964
85,1.8466,0.6872
86,1.8488,0.5809
87,1.8509,0.476
88,1.8531,0.3716
89,1.8552,0.2672
90,1.8574,0.1626
91,1.8595,0.0582
92,1.8617,-0.0464
93,1.8638,-0.1522
94,1.866,-0.258
95,1.8682,-0.3632
96,1.8703,-0.4681
97,1.8725,-0.5731
98,1.8746,-0.6777
99,1.8768,-0.7824
100,1.8789,-0.8876
101,1.8811,-0.9933
102,1.8832,-1.0977
103,1.8854,-1.2029
104,1.8876,-1.3087
105,1.8897,-1.4134
106,1.8919,-1.5183
107,1.894,-1.6235
108,1.8962,-1.7284
109,1.8983,-1.8331
110,1.9005,-1.9377
111,1.9026,-2.0424
112,1.9048,-2.1479
113,1.907,-2.2528
114,1.9098,-2.3585
115,1.9176,-2.4635
116,1.9377,-2.5665
117,1.9742,-2.6647
118,2.027,-2.7547
119,2.095,-2.8345
120,2.1717,-2.9016
121,2.2526,-2.9674
122,2.3346,-3.0342
123,2.4158,-3.1003
124,2.4972,-3.1666
125,2.5788,-3.233
126,2.6606,-3.2992
127,2.7456,-3.3609
128,2.8371,-3.4127
129,2.9341,-3.4508
130,3.036,-3.474
131,3.1405,-3.4797
132,3.2444,-3.4638
133,3.3411,-3.4256
134,3.4253,-3.3656
135,3.4955,-3.2898
136,3.5642,-3.2105
137,3.6313,-3.13
138,3.6862,-3.0409
139,3.7217,-2.9408
140,3.7458,-2.839
141,3.7698,-2.7363
142,3.7938,-2.6338
143,3.8176,-2.5322
144,3.8413,-2.43
145,3.8637,-2.3274
146,3.8861,-2.2249
147,3.9087,-2.1213
148,3.931,-2.0176
149,3.9527,-1.9138
150,3.9696,-1.8085
151,3.9707,-1.703
152,3.9671,-1.5981
153,3.9636,-1.4946
154,3.9601,-1.392
155,3.9565,-1.2896
156,3.953,-1.1867
157,3.9494,-1.0837
158,3.9459,-0.9808
159,3.9423,-0.8776
160,3.9388,-0.775
161,3.9353,-0.6726
162,3.9317,-0.5694
163,3.9282,-0.4665
164,3.9246,-0.3635
165,3.9211,-0.2606
166,3.9175,-0.158
167,3.914,-0.0548
168,3.9105,0.0479
169,3.9069,0.1511
170,3.9033,0.2546
171,3.8998,0.3575
172,3.8963,0.4604
173,3.8927,0.5636
174,3.8892,0.6669
175,3.8945,0.7706
176,3.903,0.873
177,3.9117,0.9767
178,3.9203,1.0793
179,3.9278,1.1806
180,3.9339,1.2834
181,3.94,1.3862
182,3.9461,1.4893
183,3.9522,1.5918
184,3.9583,1.6944
185,3.9649,1.7966
186,3.9824,1.8983
187,4.0147,1.9962
188,4.0624,2.0871
189,4.1247,2.1691
190,4.2003,2.2397
191,4.2876,2.2962
192,4.3841,2.3301
193,4.4863,2.3397
194,4.5881,2.3242
195,4.6834,2.2864
196,4.7702,2.2313
197,4.8453,2.161
198,4.9031,2.0763
199,4.938,1.9798
200,4.9478,1.8792
201,4.9404,1.7651
202,4.9329,1.6627
203,4.9254,1.5602
204,4.9179,1.4581
205,4.9104,1.3556
206,4.9029,1.2532
207,4.8954,1.1511
208,4.8879,1.0489
209,4.8804,0.9465
210,4.8729,0.8443
211,4.8653,0.7419
212,4.8578,0.6395
213,4.8502,0.5362
214,4.8426,0.4332
215,4.8351,0.3308
216,4.8277,0.2286
217,4.8271,0.1265
218,4.8311,0.0241
219,4.8351,-0.0788
220,4.8391,-0.1811
221,4.8431,-0.2841
222,4.8471,-0.3867
223,4.8512,-0.4904
224,4.8552,-0.5939
225,4.8596,-0.7048
226,4.8643,-0.8225
227,4.8686,-0.9304
228,4.873,-1.0411
229,4.8774,-1.1521
230,4.8817,-1.2614
231,4.886,-1.3709
232,4.8904,-1.4816
233,4.8948,-1.5934
234,4.8993,-1.7047
235,4.9036,-1.8154
236,4.908,-1.9258
237,4.9123,-2.0348
238,4.9167,-2.1446
239,4.9198,-2.2549
240,4.9177,-2.3663
241,4.9079,-2.4773
242,4.888,-2.5881
243,4.8586,-2.6952
244,4.8202,-2.7973
245,4.777,-2.8976
246,4.733,-2.9986
247,4.6891,-3.0994
248,4.6453,-3.2
249,4.6018,-3.3
250,4.5583,-3.3997
251,4.5148,-3.4998
252,4.4709,-3.6
253,4.4248,-3.6998
254,4.3766,-3.799
255,4.3263,-3.8965
256,4.2727,-3.9931
257,4.2134,-4.0869
258,4.1438,-4.1737
259,4.0647,-4.2503
260,3.9771,-4.3166
261,3.8814,-4.3722
262,3.7792,-4.4159
263,3.6725,-4.447
264,3.5622,-4.4653
265,3.4512,-4.4706
266,3.3412,-4.4675
267,3.2299,-4.4621
268,3.1191,-4.4542
269,3.0089,-4.4428
270,2.8998,-4.4244
271,2.7925,-4.3964
272,2.688,-4.359
273,2.5874,-4.3125
274,2.4907,-4.2571
275,2.3994,-4.1939
276,2.3119,-4.1255
277,2.2242,-4.0564
278,2.1366,-3.9873
279,2.0491,-3.9184
280,1.962,-3.8495
281,1.8754,-3.7781
282,1.792,-3.7047
283,1.7111,-3.6281
284,1.633,-3.5495
285,1.5543,-3.47
286,1.4758,-3.3906
287,1.3975,-3.3114
288,1.3191,-3.232
289,1.2408,-3.1529
290,1.1625,-3.0737
291,1.0841,-2.9943
292,1.0058,-2.9151
293,0.9277,-2.8361
294,0.8497,-2.7571
295,0.7716,-2.6781
296,0.6933,-2.599
297,0.6153,-2.52
298,0.5368,-2.4405
299,0.4599,-2.36
300,0.3862,-2.2767
301,0.3212,-2.1861
302,0.2668,-2.0892
303,0.2242,-1.9897
304,0.1847,-1.8864
305,0.145,-1.7824
306,0.1055,-1.6789
307,0.0659,-1.5749
