id,x,y
0,0.0001,-0.0
1,0.094,0.0609
2,0.1895,0.1224
3,0.2779,0.1794
4,0.366,0.2361
5,0.4524,0.2918
6,0.5402,0.3483
7,0.6332,0.4082
8,0.722,0.4654
9,0.8092,0.5216
10,0.8963,0.5777
11,0.9863,0.6357
12,1.0724,0.573
13,1.1369,0.4826
14,1.2077,0.3805
15,1.2697,0.2896
16,1.3321,0.1979
17,1.3956,0.1045
18,1.4579,0.0127
19,1.5195,-0.0779
20,1.5814,-0.169
21,1.6419,-0.2581
22,1.7014,-0.3457
23,1.7612,-0.4337
24,1.8201,-0.5204
25,1.8799,-0.6084
26,1.9393,-0.6959
27,2.0076,-0.7965
28,2.0695,-0.8876
29,2.1347,-0.9645
30,2.2458,-0.943
31,2.348,-0.9196
32,2.457,-0.891
33,2.5643,-0.8623
34,2.6662,-0.8379
35,2.7693,-0.8157
36,2.8738,-0.8058
37,2.9786,-0.8159
38,3.0798,-0.8461
39,3.174,-0.8953
40,3.2576,-0.9626
41,3.328,-1.0465
42,3.3848,-1.1449
43,3.425,-1.2552
44,3.4416,-1.3555
45,3.4409,-1.4608
46,3.4205,-1.5749
47,3.3775,-1.6894
48,3.3159,-1.7922
49,3.2508,-1.8697
50,3.1755,-1.9373
51,3.0917,-1.9943
52,2.9824,-2.0516
53,2.8921,-2.0951
54,2.8009,-2.1391
55,2.7097,-2.183
56,2.619,-2.2267
57,2.5071,-2.2807
58,2.4017,-2.3313
59,2.3079,-2.3718
60,2.1955,-2.4038
61,2.0818,-2.4159
62,1.9682,-2.4084
63,1.8576,-2.3816
64,1.7569,-2.3374
65,1.6705,-2.2808
66,1.5925,-2.2079
